n,p1,p2,pr_factor,run_pr,peak
100140049,10007,10007,10007,0.0007467180000000073,1652
1000609937,10007,99991,10007,0.00015076999999999452,148
4005872149,10007,400307,10007,0.00046923600000001175,204
4006112317,10007,400331,10007,0.00011495000000000255,204
10007030021,10007,1000003,10007,0.000865140999999986,260
109240905143,10007,10916449,10007,0.000184360999999994,204
145047652333,10007,14494619,10007,0.0002575539999999932,204
1000700070049,10007,100000007,10007,0.0008230049999999878,260
9505549119923,10007,949889989,10007,0.00015950499999997647,204
59197281880939,10007,5915587277,10007,0.0006013559999999973,212
33702578432191,10007,3367900313,10007,0.0008988449999999815,260
735857971591931,10007,73534323133,10007,0.0009986289999999731,268
303911552304121,10007,30369896303,10007,0.0006491679999999778,268
1018117149806431,10007,101740496633,10007,0.00021780800000004152,212
3536210893664299,10007,353373727757,10007,0.0006333199999999928,268
35340492394338073,10007,3531577135439,10007,0.0006410450000000067,268
91020321585720559,10007,9095665192937,10007,0.00036336799999997504,212
280046223214199227,10007,27985032798461,10007,0.0001456000000000235,212
818015241035849947,10007,81744303091421,10007,6.663599999995329e-05,212
3204801526833523307,10007,320255973501901,10007,0.00025920299999998564,236
9740509656882533653,10007,973369606963379,10007,0.00016685900000001919,236
23590035210893664299,10007,2357353373727757,10007,0.0004971109999999945,236
51146888888888967833,10007,5111111111111119,10007,0.0002642250000000068,236
371504952006969828059,10007,37124508045065437,10007,0.0008489090000000088,292
747997979797979793229,10007,74747474747474747,10007,0.00020286499999999652,236
6192527933533938610693,10007,618819619619660099,10007,3.5410999999985204e-05,236
4447557781357081289293,10007,444444666868899899,10007,0.00027387800000000517,236
1000609937,99991,10007,10007,0.000181238000000028,148
9998200081,99991,99991,99991,0.003966964999999989,260
40027097237,99991,400307,400307,0.0015440770000000326,260
40029497021,99991,400331,400331,0.00248683999999999,260
99991299973,99991,1000003,1000003,0.002533598999999942,260
1091546651959,99991,10916449,99991,0.003813820000000079,260
1449331448429,99991,14494619,99991,0.00594381300000002,260
9999100699937,99991,100000007,99991,0.004070664000000002,260
94980449890099,99991,949889989,99991,0.00430256200000001,268
591505487414507,99991,5915587277,99991,0.004284254999999959,268
336759720197183,99991,3367900313,99991,0.003858745999999913,268
7352770504391803,99991,73534323133,99991,0.004508663999999829,268
3036716301233273,99991,30369896303,99991,0.003971155999999976,268
10173133998830303,99991,101740496633,99991,0.0005173800000000117,212
35334192412150187,99991,353373727757,99991,0.00431226600000012,268
353125929349681049,99991,3531577135439,99991,0.004177623999999991,268
909484658306963567,99991,9095665192937,99991,0.004497713999999986,268
2798251414550913851,99991,27985032798461,99991,0.004870531000000122,292
8173694610414277211,99991,81744303091421,99991,0.000629969000000008,236
32022715046428582891,99991,320255973501901,99991,0.004867251999999933,292
97328200369875229589,99991,973369606963379,99991,0.00512351600000005,292
235714121192412150187,99991,2357353373727757,99991,0.004991052999999912,292
511065111111111899929,99991,5111111111111119,99991,0.004955252000000021,292
3712116683934138111067,99991,37124508045065437,99991,0.004906422999999993,292
7474074747474747427277,99991,74747474747474747,99991,0.005252465999999956,292
61876392585389432959109,99991,618819619619660099,99991,0.005197793999999867,300
44440466684888169800909,99991,444444666868899899,99991,0.0006421999999997041,244
4005872149,400307,10007,10007,8.363499999974877e-05,204
40027097237,400307,99991,400307,0.002874982000000248,260
160245694249,400307,400307,400307,0.00267743900000017,260
160255301617,400307,400331,400331,0.0017822089999999235,260
400308200921,400307,1000003,400307,0.0028172280000000605,260
4369930949843,400307,10916449,400307,0.0009592549999997146,260
5802297448033,400307,14494619,400307,0.0010599879999997341,260
40030702802149,400307,100000007,400307,0.0029776039999998005,268
380247611826623,400307,949889989,400307,0.0032321929999996613,268
2368050996094039,400307,5915587277,400307,0.002006187999999298,268
1348194070596091,400307,3367900313,400307,0.003582070000000215,268
29436304290401831,400307,73534323133,400307,0.0022363229999999845,268
12157282079365021,400307,30369896303,400307,0.0017708089999999288,268
40727432985666331,400307,101740496633,400307,0.0013252999999995296,268
141457976837221399,400307,353373727757,400307,0.0038007939999999962,268
1413715048356179773,400307,3531577135439,400307,0.002083315000000141,292
3641058446389031659,400307,9095665192937,400307,0.0035310150000000817,292
11202604524453527527,400307,27985032798461,400307,0.003688960999999935,292
