n,p1,p2,pr_factor,run_pr,peak
100140049,10007,10007,10007,0.006460469999999996,508
1000609937,10007,99991,10007,0.00641034900000001,84
4005872149,10007,400307,10007,0.007929275000000013,88
4006112317,10007,400331,10007,0.00811558200000001,88
10007030021,10007,1000003,10007,0.008126472999999995,88
109240905143,10007,10916449,10007,0.007940986000000011,88
145047652333,10007,14494619,10007,0.007797703999999989,88
1000700070049,10007,100000007,10007,0.007671729999999988,88
9505549119923,10007,949889989,10007,0.007510480000000014,88
59197281880939,10007,5915587277,10007,0.007903516,88
33702578432191,10007,3367900313,10007,0.007611388999999996,88
735857971591931,10007,73534323133,10007,0.007205745000000041,88
303911552304121,10007,30369896303,10007,0.006285154999999987,88
1018117149806431,10007,101740496633,10007,0.006009326000000037,88
3536210893664299,10007,353373727757,10007,0.006327460000000007,88
35340492394338073,10007,3531577135439,10007,0.006006465999999988,88
91020321585720559,10007,9095665192937,10007,0.0062195850000000275,88
280046223214199227,10007,27985032798461,10007,0.0061242419999999465,88
818015241035849947,10007,81744303091421,10007,0.006747052000000031,88
3204801526833523307,10007,320255973501901,10007,0.006603042000000003,92
9740509656882533653,10007,973369606963379,10007,0.0062563650000000415,92
23590035210893664299,10007,2357353373727757,10007,0.0062227830000000095,92
51146888888888967833,10007,5111111111111119,10007,0.00635194,92
371504952006969828059,10007,37124508045065437,10007,0.006186809999999987,92
747997979797979793229,10007,74747474747474747,10007,0.006296150999999972,92
6192527933533938610693,10007,618819619619660099,10007,0.00619936900000001,92
4447557781357081289293,10007,444444666868899899,10007,0.006355213999999998,92
1000609937,99991,10007,10007,0.004978282999999972,84
9998200081,99991,99991,99991,0.06418615699999997,88
40027097237,99991,400307,99991,0.064600463,88
40029497021,99991,400331,99991,0.06545968499999999,88
99991299973,99991,1000003,99991,0.06514287200000002,88
1091546651959,99991,10916449,99991,0.06298179100000001,88
1449331448429,99991,14494619,99991,0.07096183499999997,88
9999100699937,99991,100000007,99991,0.06713484600000008,88
94980449890099,99991,949889989,99991,0.06342087100000005,88
591505487414507,99991,5915587277,99991,0.06290594900000002,88
336759720197183,99991,3367900313,99991,0.0628987849999999,88
7352770504391803,99991,73534323133,99991,0.07083262800000001,88
3036716301233273,99991,30369896303,99991,0.06563378100000006,88
10173133998830303,99991,101740496633,99991,0.06403657499999982,88
35334192412150187,99991,353373727757,99991,0.06333760099999997,88
353125929349681049,99991,3531577135439,99991,0.062356564999999975,88
909484658306963567,99991,9095665192937,99991,0.06178747899999992,88
2798251414550913851,99991,27985032798461,99991,0.06162232599999995,92
8173694610414277211,99991,81744303091421,99991,0.07330476299999988,92
32022715046428582891,99991,320255973501901,99991,0.06323613700000008,92
97328200369875229589,99991,973369606963379,99991,0.06282390599999998,92
235714121192412150187,99991,2357353373727757,99991,0.06293074100000018,92
511065111111111899929,99991,5111111111111119,99991,0.06324245499999992,92
3712116683934138111067,99991,37124508045065437,99991,0.061673898999999865,92
7474074747474747427277,99991,74747474747474747,99991,0.06194311599999991,92
61876392585389432959109,99991,618819619619660099,99991,0.07056287300000008,92
44440466684888169800909,99991,444444666868899899,99991,0.06497790999999964,92
4005872149,400307,10007,10007,0.006226164999999728,88
40027097237,400307,99991,99991,0.07217387499999983,88
160245694249,400307,400307,400307,0.2536229790000002,88
160255301617,400307,400331,400307,0.266237721,88
400308200921,400307,1000003,400307,0.26583500399999993,88
4369930949843,400307,10916449,400307,0.2622774900000002,88
5802297448033,400307,14494619,400307,0.26109227899999965,88
40030702802149,400307,100000007,400307,0.2740114010000001,88
380247611826623,400307,949889989,400307,0.28825063599999945,88
2368050996094039,400307,5915587277,400307,0.2664046509999993,88
1348194070596091,400307,3367900313,400307,0.3063255319999998,88
29436304290401831,400307,73534323133,400307,0.27560965500000023,88
12157282079365021,400307,30369896303,400307,0.2910212450000005,88
40727432985666331,400307,101740496633,400307,0.2615905110000005,88
141457976837221399,400307,353373727757,400307,0.28357187699999997,88
1413715048356179773,400307,3531577135439,400307,0.27428881500000024,92
3641058446389031659,400307,9095665192937,400307,0.2678051570000006,92
11202604524453527527,400307,27985032798461,400307,0.28458532999999964,92
32722816737617466247,400307,81744303091421,400307,0.2738386669999997,92
128200707984625483607,400307,320255973501901,400307,0.26138980999999983,92
389646667254689357353,400307,973369606963379,400307,0.26350679899999996,92
943665056976837221399,400307,2357353373727757,400307,0.25600140200000077,92
2046013555555558713533,400307,5111111111111119,400307,0.24916642999999983,92
14861200441996009889159,400307,37124508045065437,400307,0.2683641340000005,92
29921937373737373547329,400307,74747474747474747,400307,0.25331661599999933,92
247717825471087275250393,400307,618819619619660099,400307,0.257874932,92
177914311260288711868993,400307,444444666868899899,400307,0.2503259359999994,92
4006112317,400331,10007,10007,0.006622483999999318,88
40029497021,400331,99991,99991,0.07131479499999926,88
160255301617,400331,400307,400307,0.2533547089999999,88
160264909561,400331,400331,400331,0.25448497500000045,88
400332200993,400331,1000003,400331,0.24924514200000125,88
4370192944619,400331,10916449,400331,0.25699248899999994,88
5802645318889,400331,14494619,400331,0.2521873059999997,2352
40033102802317,400331,100000007,400331,0.2564957569999997,88
380270409186359,400331,949889989,400331,0.2518724740000007,88
2368192970188687,400331,5915587277,400331,0.25899595799999986,88
1348274900203603,400331,3367900313,400331,0.24901018600000135,88
29438069114157023,400331,73534323133,400331,0.253231886,88
12158010956876293,400331,30369896303,400331,0.25671851199999907,88
40729874757585523,400331,101740496633,400331,0.27031067599999936,88
141466457806687567,400331,353373727757,400331,0.25651076299999964,88
1413799806207430309,400331,3531577135439,400331,0.2581205890000007,92
3641276742353662147,400331,9095665192937,400331,0.2543994740000013,92
11203276165240690591,400331,27985032798461,400331,0.2606793120000006,92
32724778600891660351,400331,81744303091421,400331,0.25076360099999917,92
128208394127989529231,400331,320255973501901,400331,0.2562459379999993,92
389670028125256478449,400331,973369606963379,400331,0.2478473680000004,92
943721633457806687567,400331,2357353373727757,400331,0.2639383140000007,92
2046136222222225380389,400331,5111111111111119,400331,0.25313845900000054,92
14862091430189091459647,400331,37124508045065437,400331,0.2771200759999992,92
29923731313131312941257,400331,74747474747474747,400331,0.2513525750000003,92
247732677141958147092769,400331,618819619619660099,400331,0.264101118000001,92
177924977932293565466569,400331,444444666868899899,400331,0.24808889300000025,92
10007030021,1000003,10007,10007,0.006204255000000103,88
99991299973,1000003,99991,99991,0.06821295700000007,88
400308200921,1000003,400307,400307,0.26570355099999965,88
400332200993,1000003,400331,400331,0.2748690749999998,88
1000006000009,1000003,1000003,1000003,0.6734923839999993,88
10916481749347,1000003,10916449,1000003,0.6863061269999982,88
14494662483857,1000003,14494619,1000003,0.717492257,88
100000307000021,1000003,100000007,1000003,0.6743454970000009,88
949892838669967,1000003,949889989,1000003,0.6945925230000007,88
5915605023761831,1000003,5915587277,1000003,0.6978408690000002,1384
3367910416700939,1000003,3367900313,1000003,0.6641003850000011,88
73534543735969399,1000003,73534323133,1000003,0.6959499149999999,88
30369987412688909,1000003,30369896303,1000003,0.6744182469999984,88
101740801854489899,1000003,101740496633,1000003,0.6536676610000001,88
353374787878183271,1000003,353373727757,1000003,0.669483735,88
3531587730170406317,1000003,3531577135439,1000003,0.681867828999998,92
9095692479932578811,1000003,9095665192937,1000003,0.6565526720000001,92
27985116753559395383,1000003,27985032798461,1000003,0.6779980369999983,92
81744548324330274263,1000003,81744303091421,1000003,0.6973996410000005,92
320256934269821505703,1000003,320255973501901,1000003,0.6698284379999997,92
973372527072199890137,1000003,973369606963379,1000003,0.6921809110000012,92
2357360445787878183271,1000003,2357353373727757,1000003,0.6926768500000016,92
5111126444444452333357,1000003,5111111111111119,1000003,0.6683155090000028,92
37124619418589572196311,1000003,37124508045065437,1000003,0.6602096950000025,92
74747698989898989424241,1000003,74747474747474747,1000003,0.6631886430000016,1388
618821476078518957980297,1000003,618819619619660099,1000003,0.6722161580000012,92
444446000202900505699697,1000003,444444666868899899,1000003,0.6846475480000009,92
109240905143,10916449,10007,10007,0.006415966000002271,88
1091546651959,10916449,99991,99991,0.07213174700000025,88
4369930949843,10916449,400307,400307,0.27562584100000365,88
4370192944619,10916449,400331,400331,0.26810467399999993,88
10916481749347,10916449,1000003,1000003,0.650162317000003,88
119168858769601,10916449,10916449,10916449,7.128113179000003,1356
158229769087931,10916449,14494619,10916449,7.046421627999997,88
1091644976415143,10916449,100000007,10916449,6.989047571999997,1384
10369425620529061,10916449,949889989,10916449,7.134205236999996,1356
64577206814419373,10916449,5915587277,10916449,7.094086257000008,88
36765512003948537,10916449,3367900313,10916449,7.374658836000009,1384
802733688230914717,10916449,73534323133,10916449,7.035095841,1356
331531424126988047,10916449,30369896303,10916449,6.952440140000007,88
1110644942728816217,10916449,101740496633,10916449,6.820040072000012,1356
3857586276999174893,10916449,353373727757,10916449,6.730119243999994,1384
38552281688585936111,10916449,3531577135439,10916449,7.174033337000012,1356
99292365199771920713,10916449,9095665192937,10916449,7.129427100000001,92
305497183307726784989,10916449,27985032798461,10916449,7.070647764,1384
892357515738039684029,10916449,81744303091421,10916449,7.066290437000006,1384
3496058001678853669549,10916449,320255973501901,10916449,6.946933115000007,92
10625739672565771721171,10916449,973369606963379,10916449,6.757794445000002,1384
25733927879276999174893,10916449,2357353373727757,10916449,6.686615657000004,1384
55795183777777863896431,10916449,5111111111111119,10916449,7.426887602000022,92
405267798724046544673213,10916449,37124508045065437,10916449,7.429533778999996,1388
815976995959595954413403,10916449,74747474747474747,10916449,7.224110610999986,1384
6755312817777418868068451,10916449,618819619619660099,10916449,7.163706560999998,1384
4851757539196335433538651,10916449,444444666868899899,10916449,7.013954888000001,92
145047652333,14494619,10007,10007,0.006430247999986705,88
1449331448429,14494619,99991,99991,0.06767771400001266,88
5802297448033,14494619,400307,400307,0.24915168999999082,88
5802645318889,14494619,400331,400331,0.25274985799998717,88
14494662483857,14494619,1000003,1000003,0.6280517470000007,88
158229769087931,14494619,10916449,10916449,6.637520080000002,1356
210093979955161,14494619,14494619,14494619,9.374343887999999,1388
1449462001462333,14494619,100000007,14494619,9.479262094000006,1384
13768293482469191,14494619,949889989,14494619,9.461622737999988,1356
85744183741362463,14494619,5915587277,14494619,9.181994156000002,1384
48816431866915747,14494619,3367900313,14494619,9.170631885000006,1384
1065851997235721327,14494619,73534323133,14494619,9.61520307500001,1384
440200075981493557,14494619,30369896303,14494619,10.021325583999982,1388
1474689735566117827,14494619,101740496633,14494619,8.84209043300001,1388
5122017548447439583,14494619,353373727757,14494619,8.91948908300003,1356
51188865047299702741,14494619,3531577135439,14494619,8.949622412999986,92
131838201523183306003,14494619,9095665192937,14494619,8.823036445000014,1388
405632388116195981359,14494619,27985032798461,14494619,8.884628841999984,1384
1184852528730669563599,14494619,81744303091421,14494619,8.870085598999992,1388
4641988318384150770719,14494619,320255973501901,14494619,8.888056851000044,1384
14108621599113925557601,14494619,973369606963379,14494619,8.961832627000035,1384
34168939000548447439583,14494619,2357353373727757,14494619,9.294304460000035,1356
74083608222222336568661,14494619,5111111111111119,14494619,8.873199692000014,1388
538105599675658339383503,14494619,37124508045065437,14494619,8.985376250999991,1356
1083436167676767669886393,14494619,74747474747474747,14494619,8.966673848000028,1356
8969554616111898044507281,14494619,618819619619660099,14494619,8.962205154999992,92
6442056112846626985143481,14494619,444444666868899899,14494619,8.80243464900002,1356
1000700070049,100000007,10007,10007,0.0057415910000031545,88
9999100699937,100000007,99991,99991,0.06566748599999528,88
40030702802149,100000007,400307,400307,0.25694471200000635,88
40033102802317,100000007,400331,400331,0.2510299859999918,88
100000307000021,100000007,1000003,1000003,0.6192623910000066,88
1091644976415143,100000007,10916449,10916449,6.675304284000049,1388
1449462001462333,100000007,14494619,14494619,8.859102344999997,1384
10000001400000049,100000007,100000007,100000007,60.19458104500001,1388
94989005549229923,100000007,949889989,100000007,60.99231541599994,1388
591558769109110939,100000007,5915587277,100000007,60.35219439499997,1388
336790054875302191,100000007,3367900313,100000007,60.15696744000002,1388
7353432828040261931,100000007,73534323133,100000007,61.658558558000095,1388
3036989842889274121,100000007,30369896303,100000007,62.190257606000046,1388
10174050375483476431,100000007,101740496633,100000007,64.18295765100004,1384
35337375249316094299,100000007,353373727757,100000007,61.21943413200006,1388
353157738264939948073,100000007,3531577135439,100000007,64.14663755100003,1388
909566582963356350559,100000007,9095665192937,100000007,61.33953918200007,1388
2798503475741329589227,100000007,27985032798461,100000007,63.888404977999926,1388
8174430881352221639947,100000007,81744303091421,100000007,63.51139871100008,1388
32025599591981914513307,100000007,320255973501901,100000007,63.27052856599994,1388
97336967509925148743653,100000007,973369606963379,100000007,62.63238152500003,1388
235735353874249316094299,100000007,2357353373727757,100000007,61.043984335000005,1388
511111146888889677777833,100000007,5111111111111119,100000007,61.007704719,1388
3712451064378100015458059,100000007,37124508045065437,100000007,61.094592191999936,1388
7474747997979797932323229,100000007,74747474747474747,100000007,61.24824264599988,1388
61881966293703347237620693,100000007,618819619619660099,100000007,61.15646145300002,1388
44444469798002657982299293,100000007,444444666868899899,100000007,60.650397827999996,1388
9505549119923,949889989,10007,10007,0.005847136999818758,88
94980449890099,949889989,99991,99991,0.06345723699996597,88
380247611826623,949889989,400307,400307,0.259652565000124,88
380270409186359,949889989,400331,400331,0.24573375499994654,88
949892838669967,949889989,1000003,1000003,0.6298906429999533,88
10369425620529061,949889989,10916449,10916449,6.784199304999902,88
13768293482469191,949889989,14494619,14494619,8.97042276000002,1356
94989005549229923,949889989,100000007,100000007,60.47393867699998,1388
902290991202420121,949889989,949889989,949889989,578.0850169060002,1388
5619157133478069953,949889989,5915587277,949889989,605.865484383,1388
3199134791268666557,949889989,3367900313,949889989,608.004833294,1388
69849517391927815537,949889989,73534323133,949889989,613.3254680379996,1388
28848060465187810667,949889989,30369896303,949889989,605.8367371150007,1388
96642279227574907037,949889989,101740496633,949889989,607.031662894,1388
335666166371985724673,949889989,353373727757,949889989,605.7525156340007,1388
3354609766334803220171,949889989,3531577135439,949889989,609.9682776590007,1388
8639881310066609807693,949889989,9095665192937,949889989,606.9362082119997,1388
26582702497094758506929,949889989,27985032798461,949889989,617.1785964840001,1388
77648095164322559684369,949889989,81744303091421,949889989,634.9615262480002,1388
304207943146905032369089,949889989,320255973501901,949889989,621.0488309169996,1388
924594045251378401712831,949889989,973369606963379,949889989,626.2790099260001,1388
2239226370239371985724673,949889989,2357353373727757,949889989,627.0411203949989,1388
4854993277111118604687691,949889989,5111111111111119,949889989,623.5749867969989,1388
35264198538557619456210193,949889989,37124508045065437,949889989,625.6736807809993,1388
71001877965656565205607783,949889989,74747474747474747,949889989,600.3347113719992,1388
587810561673503115622848911,949889989,618819619619660099,949889989,575.6668573389998,1388
422173539723207989503211111,949889989,444444666868899899,949889989,575.5488094399989,1388
59197281880939,5915587277,10007,10007,0.006047722999937832,88
591505487414507,5915587277,99991,99991,0.07930591399963305,88
2368050996094039,5915587277,400307,400307,0.3084259219995147,88
2368192970188687,5915587277,400331,400331,0.26605466900036845,88
5915605023761831,5915587277,1000003,1000003,0.6376294609999604,88
64577206814419373,5915587277,10916449,10916449,6.623075482999411,1388
85744183741362463,5915587277,14494619,14494619,8.865726900001391,1388
591558769109110939,5915587277,100000007,100000007,60.76497107999967,1388
5619157133478069953,5915587277,949889989,949889989,576.2459562229997,1388
34994172831804274729,5915587277,5915587277,5915587277,4218.7384415259985,1404
19923108241787117701,5915587277,3367900313,3367900313,2346.2221698680005,1404
434998706348381578841,5915587277,73534323133,5915587277,4241.714563566999,1404
179655772173836136931,5915587277,30369896303,5915587277,4205.040240685001,1404
